Keyword,Category,Clicks,Category Status,Jacard,Cosine,BERT,Search Volume,Competitor Score,CPC
ソニー損保 がん専門保険,Illness Coverage Domains,0.0,deeper,0.125,0.8501570224761963,0.7052405476570129,3600.0,9.0,2.91
ソニー損保 病気保障,Illness Coverage Domains,0.0,deeper,0.06666666666666667,0.843687117099762,0.7049768567085266,3600.0,9.0,2.91
ソニー損保 入院保障,Illness Coverage Domains,0.0,deeper,0.06666666666666667,0.8390552997589111,0.7004889845848083,3600.0,9.0,2.91
ソニー損保 顧客サポート,Customer Service,0.0,deeper,0.0625,0.7933007478713989,0.6952568292617798,3600.0,9.0,2.91
ソニー損保 保険相談,Customer Service,0.0,deeper,0.14285714285714285,0.8079175353050232,0.738262951374054,3600.0,9.0,2.91
ソニー損保 保険クレームサービス,Customer Service,0.0,deeper,0.1111111111111111,0.7933375835418701,0.6943062543869019,3600.0,9.0,2.91
ソニー損保 保険申込手続き,Insurance Procedures,0.0,deeper,0.11764705882352941,0.8556169271469116,0.7232174277305603,3600.0,9.0,2.91
ソニー損保 保険更新手続き,Insurance Procedures,0.0,deeper,0.11764705882352941,0.8356299996376038,0.7148502469062805,3600.0,9.0,2.91
ソニー損保 保険解約手続き,Insurance Procedures,0.0,deeper,0.11764705882352941,0.8387235999107361,0.719658613204956,3600.0,9.0,2.91
ソニー損保 信頼性,Attribute,0.0,deeper,0.06666666666666667,0.8106129765510559,0.6929636001586914,3600.0,9.0,2.91
ソニー損保 安全性,Attribute,0.0,deeper,0.06666666666666667,0.8138340711593628,0.6854244470596313,3600.0,9.0,2.91
ソニー損保 コストパフォーマンス,Attribute,0.0,deeper,0.05,0.8034754991531372,0.6328195929527283,3600.0,9.0,2.91
ソニー損保 保険比較,New Category 1,0.0,wider,0.14285714285714285,0.8067750930786133,0.7563090324401855,3600.0,9.0,2.91
ソニー損保 保険評価,New Category 1,0.0,wider,0.14285714285714285,0.8040990829467773,0.7541980147361755,3600.0,9.0,2.91
ソニー損保 保険ランキング,New Category 1,0.0,wider,0.13333333333333333,0.7735300660133362,0.73337322473526,3600.0,9.0,2.91
ソニー損保 保険料計算,New Category 2,0.0,wider,0.25,0.8839172124862671,0.842183530330658,720.0,11.0,0.77
ソニー損保 保険料見積もり,New Category 2,0.0,wider,0.11764705882352941,0.840251088142395,0.7032397389411926,3600.0,9.0,2.91
ソニー損保 保険料支払い,New Category 2,0.0,wider,0.2,0.8505164980888367,0.7341016530990601,3600.0,9.0,2.91
ソニー損保 保険契約,New Category 3,0.0,wider,0.14285714285714285,0.8121744394302368,0.7434465885162354,3600.0,9.0,2.91
ソニー損保 保険更新,New Category 3,0.0,wider,0.14285714285714285,0.7844905853271484,0.7283177971839905,3600.0,9.0,2.91
ソニー損保 保険解約,New Category 3,0.0,wider,0.14285714285714285,0.8066355586051941,0.740190327167511,3600.0,9.0,2.91
